"filename", "language", "Log", "comment", "blank", "total"
"c:\Users\aditf\OneDrive\Dokumen\Unity\Projects\Rocks\Logs\AssetImportWorker1.log", "Log", 232, 0, 8, 240
"Total", "-", 232, 0, 8, 240
